price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,direction,street_in_front_of_house,width,city,district
5.5,80.0,4.0,4.0,False,False,False,False,Nhà mặt tiền,None,12.0,4.447257932086094,Hồ Chí Minh,Nội thành
7.6,125.0,1.0,2.0,False,False,False,False,Nhà mặt tiền,None,8.0,4.447257932086094,Hồ Chí Minh,Ngoại thành
4.4,64.0,4.0,5.0,True,True,True,True,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Nội thành
4.19,36.0,5.0,3.0,True,False,True,True,Nhà trong hẻm,None,3.0,4.0,Hà Nội,Nội thành
4.6,54.0,3.0,3.0,True,True,True,False,Nhà trong hẻm,None,4.0,4.0,Hồ Chí Minh,Nội thành
10.3,54.0,4.0,4.0,True,True,True,True,Nhà trong hẻm,None,4.0,4.0,Hồ Chí Minh,Nội thành
3.99,65.0,4.0,3.0,False,False,False,False,Nhà trong hẻm,None,4.0,5.5,Hồ Chí Minh,Ngoại thành
3.2,30.0,5.0,4.0,True,True,True,True,Nhà mặt tiền,None,3.0,4.447257932086094,Hà Nội,Nội thành
1.95,40.0,3.0,4.0,False,False,False,False,Nhà mặt tiền,None,2.0,5.0,Hà Nội,Ngoại thành
2.03,40.0,3.0,5.0,True,True,True,True,Nhà trong hẻm,Tây,6.0,4.0,Hồ Chí Minh,Ngoại thành
7.7,105.0,1.0,3.0,False,False,False,False,Nhà trong hẻm,Đông Nam,6.0,4.0,Hồ Chí Minh,Nội thành
6.8,41.0,5.0,3.0,False,False,False,False,Nhà trong hẻm,None,8.0,4.447257932086094,Hà Nội,Nội thành
3.3,31.0,4.0,4.0,False,False,False,False,Nhà trong hẻm,Đông Nam,6.0,4.447257932086094,Hà Nội,Ngoại thành
3.05,20.0,3.0,2.0,False,False,False,False,Nhà trong hẻm,None,3.0,4.0,Hồ Chí Minh,Nội thành
2.05,99.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,15.0,5.5,Hồ Chí Minh,Ngoại thành
8.7,48.0,5.0,5.0,True,True,True,True,Nhà mặt tiền,None,15.0,4.447257932086094,Hà Nội,Nội thành
6.7,40.0,6.0,3.0,True,True,True,True,Nhà trong hẻm,None,4.0,3.5,Hà Nội,Nội thành
14.5,80.0,4.0,6.0,True,True,True,True,Nhà mặt tiền,None,12.0,4.0,Hồ Chí Minh,Nội thành
9.7,75.0,4.0,5.0,True,True,True,True,Nhà trong hẻm,None,5.0,4.447257932086094,Hà Nội,Nội thành
3.1,36.0,3.0,3.0,True,True,True,False,Nhà trong hẻm,Tây Nam,4.0,3.1,Hà Nội,Nội thành
3.86,63.0,1.0,2.0,True,True,True,False,Nhà mặt tiền,Đông Nam,3.0,3.3,Hồ Chí Minh,Nội thành
4.95,70.0,2.0,3.0,True,True,True,True,Nhà trong hẻm,None,5.0,6.0,Hồ Chí Minh,Ngoại thành
6.7,35.0,6.0,3.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.0,Hà Nội,Nội thành
4.8,72.0,4.0,6.0,True,True,True,True,Nhà mặt tiền,Tây Nam,12.0,4.0,Hồ Chí Minh,Nội thành
2.25,31.0,4.0,4.0,False,False,False,False,Nhà mặt tiền,Đông,3.0,4.0,Hà Nội,Ngoại thành
1.62,32.0,1.0,2.0,True,True,True,True,Nhà mặt tiền,None,8.0,4.447257932086094,Hồ Chí Minh,Ngoại thành
7.0,40.0,4.0,6.0,False,False,False,False,Nhà mặt tiền,None,8.0,4.3,Hà Nội,Nội thành
9.6,78.0,6.0,4.0,True,True,True,True,Nhà mặt tiền,None,5.0,5.5,Hồ Chí Minh,Nội thành
6.7,38.0,6.0,4.0,True,True,True,True,Nhà trong hẻm,None,4.5,3.8,Hà Nội,Nội thành
1.15,90.0,2.0,3.0,False,False,False,False,Nhà mặt tiền,None,10.0,5.0,Hồ Chí Minh,Ngoại thành
1.4,31.0,3.0,3.0,True,True,True,False,Nhà trong hẻm,Đông Nam,3.0,4.0,Hà Nội,Ngoại thành
4.2,40.0,5.0,3.0,True,True,True,True,Nhà trong hẻm,None,4.0,4.5,Hà Nội,Nội thành
1.35,48.0,1.0,3.0,False,False,False,False,Nhà mặt tiền,None,5.0,4.0,Hồ Chí Minh,Nội thành
6.0,66.0,5.0,5.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.5,Hà Nội,Nội thành
